Screen ID,Type Restriction,Bundle,Datatype,List,Name,is container,is ripetibile,wysiwyg,List Values
DESCRIZIONE TECNICA,documento,ca_attribute_medium,List,supporto,Supporto,FALSE,TRUE,,audio e cartaceo; cartoncino; cartaceo; digitale; membranaceo; magnetico; velina; pellicola; tessuto; cartatela; plastico; vetro; vario
DESCRIZIONE TECNICA,documento,ca_attribute_formato,Text,,Formato,FALSE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_misure_generiche.misure_misure,Text,,Misure,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_misure_generiche.misure_specifiche,Text,,Specifiche e note,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_dimensioni.dimensioni_supp,Text,,Riferimento alla parte,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_dimensioni.dimensioni_unita,List,unita_misura,Unità di misura,TRUE,TRUE,,mm; cm; m; mq
DESCRIZIONE TECNICA,documento,ca_attribute_dimensioni.dimensioni_altezza,Text,,Altezza,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_dimensioni.dimensioni_larghezza,Text,,Larghezza,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_dimensioni.dimensioni_annotazioni,Text,,Annotazioni,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_dimensioni.dimensioni_lunghezza,Text,,Lunghezza,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_profondita.UnitaMisuraProfondita,List,unita_misura,Unità di misura,TRUE,TRUE,,mm; cm; m; mq
DESCRIZIONE TECNICA,documento,ca_attribute_profondita.Profondita2,Text,,Profondità/Spessore,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_profondita.profondita_supp,Text,,Riferimento alla parte,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_profondita.ann_profondita,Text,,Annotazioni,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_peso.unita_misura_4,List,unita_peso,Unità di misura,TRUE,TRUE,,kg; g; hg
DESCRIZIONE TECNICA,documento,ca_attribute_peso.peso_sub,Text,,Peso,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_peso.peso_supp,Text,,Riferimento alla parte,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_peso.peso_annotazioni,Text,,Annotazioni,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_FotoInterventoAutore.mtcx,List,tipoIntervento,Tipo intervento,TRUE,TRUE,,decorazione; mascheratura; montatura; ritocco; verniciatura; viraggio
DESCRIZIONE TECNICA,documento,ca_attribute_FotoInterventoAutore.mtcd,Text,,Descrizione intervento,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_fil,Text,,Filigrana,FALSE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_length,TimeCode,,Durata,FALSE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_originalmedium.originalmedium_y_n,List,yes_no,Supporto originale,TRUE,FALSE,,sì; no
DESCRIZIONE TECNICA,documento,ca_attribute_originalmedium.originalmediumlocation,Text,,Collocazione supporto originale,TRUE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_physaccessrestrict.stato_conservazione_2,List,statoConservazione,Stato,TRUE,TRUE,,ottimo; buono; discreto; mediocre; pessimo
DESCRIZIONE TECNICA,documento,ca_attribute_physaccessrestrict.stato_cons_note,Text,,Note,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_physaccessrestrict.stcd,DateRange,,Data rilevazione,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_physaccessrestrict.descrizione_danni,Text,,Descrizione danni,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_physaccessrestrict.stcw,Text,,Riferimento alla parte,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_modalita_conservazione.indicazioni_conservazione,Text,,Indicazioni,TRUE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_modalita_conservazione.esposizione_massima,Text,,Esposizione massima,TRUE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_interventi_consigliati,Text,,Interventi consigliati,FALSE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_restauroCont.TipoSupporto,Text,,Tipo supporto,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_restauroCont.enteResp,Text,,Ente responsabile,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_restauroCont.enteFinanz,Text,,Ente finanziatore,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_restauroCont.operatore,Text,,Operatore,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_restauroCont.schedaRestauro,Text,,Scheda restauro,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_restauroCont.dataIntervento,DateRange,,Data intervento,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_restauroCont.relazione_restauro,Media,,Relazione di restauro,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_occurrences,,,,FALSE,FALSE,,
DESCRIZIONE TECNICA,documento,ca_attribute_analisi_laboratorio.data_analisi,DateRange,,Data,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_analisi_laboratorio.analisi_responsabili,Text,,Responsabili e operatori,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_analisi_laboratorio.analisi_risultati,Text,,Descrizione e risultati,TRUE,TRUE,,
DESCRIZIONE TECNICA,documento,ca_attribute_analisi_laboratorio.analisi_allegati,Media,,Allegati,TRUE,TRUE,,
NOTE,documento,ca_attribute_note,Text,,Note,FALSE,TRUE,,
